chr,strand,gene_locus,gene_id,gene_name,gene_biotype,polyA_sites_in_gene,proximal_pos,proximal_feature,proximal_exp,distal_pos,distal_feature,distal_exp,proximal_fc,distal_fc,proximal_perc_inc,distal_perc_inc,proximal_padj,distal_padj,pair_type,gene_class
6,-,chr6:106969830-106975626,ENSG00000272398,CD24,protein_coding,2,106971298,utr3,16694,106969832,utr3,76524,0.68684,-0.64648,0.86,0.71,0,0,same,enhanced
2,+,chr2:202376935-202567750,ENSG00000204217,BMPR2,protein_coding,2,202560323,utr3,6199,202567746,utr3,95623,0.64419,-0.57564,0.46,0.28,0,0,same,enhanced
2,-,chr2:178463663-178478599,ENSG00000079150,FKBP7,protein_coding,2,178465600,utr3,7350,178463665,utr3,2585,0.39788,-0.48516,0.61,0.46,0,0,same,enhanced
10,-,chr10:80150888-80205571,ENSG00000122359,ANXA11,protein_coding,2,80155597,utr3,62140,80150892,utr3,6849,0.44,-0.49029,0.47,0.32,0,0,same,enhanced
12,+,chr12:130871878-130877677,ENSG00000132341,RAN,protein_coding,2,130876278,utr3,471667,130877676,utr3,36528,0.40101,-0.41139,0.57,0.43,0,0,same,enhanced
1,-,chr1:207018520-207032755,ENSG00000182795,C1orf116,protein_coding,2,207020696,utr3,11740,207018523,utr3,22054,0.47497,-0.45844,0.42,0.29,0,0,same,enhanced
1,+,chr1:150293719-150308978,ENSG00000266472,MRPS21,protein_coding,2,150308346,utr3,95721,150308978,utr3,8359,0.40664,-0.45058,0.58,0.42,0,0,same,enhanced
4,+,chr4:37891086-38139174,ENSG00000065882,TBC1D1,protein_coding,2,38137618,utr3,22300,38139169,utr3,9151,0.43844,-0.46121,0.52,0.38,0,0,same,enhanced
2,+,chr2:264139-278282,ENSG00000143727,ACP1,protein_coding,2,277506,utr3,24978,278279,utr3,57940,0.49481,-0.48557,0.67,0.51,0,0,same,enhanced
11,-,chr11:115169217-115504956,ENSG00000182985,CADM1,protein_coding,2,115176404,utr3,14945,115173633,utr3,62559,0.54597,-0.52887,0.48,0.3,0,0,same,enhanced
4,+,chr4:41359606-41700043,ENSG00000064042,LIMCH1,protein_coding,2,41697812,utr3,8945,41700041,utr3,155906,0.56977,-0.53405,0.37,0.22,0,0,same,enhanced
1,+,chr1:37556918-37566856,ENSG00000163879,DNALI1,protein_coding,2,37565148,utr3,8578,37566855,utr3,10148,0.47236,-0.46345,0.55,0.39,0,0,same,enhanced
1,-,chr1:109399030-109426426,ENSG00000143106,PSMA5,protein_coding,2,109401850,utr3,29016,109399041,utr3,2804,0.51143,-0.6042,0.59,0.39,0,0,same,enhanced
19,+,chr19:7679826-7682853,ENSG00000269711,AC008763.3,protein_coding,2,7679826,intron,58784,7682853,utr3,17278,-1.32603,1.3348,0.13,0.51,0,0,skipped,repressed
6,-,chr6:43054028-43059805,ENSG00000112651,MRPL2,protein_coding,2,43057939,utr3,4252,43054239,utr3,2276,-0.59317,0.65625,0.41,0.63,0,0,skipped,repressed
3,+,chr3:136250305-136337895,ENSG00000114054,PCCB,protein_coding,2,136330168,utr3,12048,136332587,intron,5327,0.55877,-0.60005,0.61,0.4,0,0,skipped,enhanced
9,+,chr9:35814450-35865517,ENSG00000137103,TMEM8B,protein_coding,2,35847233,utr3,4277,35856236,utr3,6719,0.54903,-0.5279,0.51,0.34,0,0,skipped,enhanced
4,+,chr4:705747-770639,ENSG00000185619,PCGF3,protein_coding,2,734476,utr3,9089,770086,utr3,129113,0.4365,-0.38183,0.63,0.49,0,0,skipped,enhanced
16,+,chr16:23278230-23381298,ENSG00000168447,SCNN1B,protein_coding,2,23353242,exon,2421,23381292,utr3,15452,0.82367,-0.7445,0.65,0.38,0,0,skipped,enhanced
6,-,chr6:105277564-105403083,ENSG00000085377,PREP,protein_coding,2,105322259,utr3,2950,105277719,utr3,19574,0.56625,-0.46044,0.66,0.49,0,0,skipped,enhanced
14,+,chr14:103561895-103714248,ENSG00000126214,KLC1,protein_coding,2,103686223,utr3,11507,103701542,utr3,71591,0.6786,-0.65252,0.67,0.42,0,0,skipped,enhanced
6,-,chr6:32190765-32195522,ENSG00000213654,GPSM3,protein_coding,2,32194843,intron,24188,32190766,utr3,2431,-0.73095,0.84138,0.22,0.47,0,0,composite,repressed
3,-,chr3:14112076-14124869,ENSG00000163528,CHCHD4,protein_coding,2,14120830,intron,1953,14112082,utr3,20662,-0.7785,0.66694,0.28,0.5,0,0,composite,repressed
4,-,chr4:15960242-15969308,ENSG00000137441,FGFBP2,protein_coding,2,15968233,intron,12569,15960247,utr3,9036,0.03811,-0.03811,0.73,0.59,0,0,composite,enhanced
16,-,chr16:11679079-11742877,ENSG00000153066,TXNDC11,protein_coding,2,11705696,intron,3155,11679086,utr3,50121,0.93456,-0.83884,0.77,0.48,0,0,composite,enhanced
6,+,chr6:391738-411446,ENSG00000137265,IRF4,protein_coding,2,402623,intron,988,411438,utr3,11680,1.13561,-0.73598,0.86,0.63,0,0,composite,enhanced
7,+,chr7:22854177-22861578,ENSG00000228649,SNHG26,processed_transcript,2,22858556,intron,4503,22861402,exon,1273,0.65241,-0.79933,0.7,0.45,0,0,composite,enhanced
11,-,chr11:10511677-10541229,ENSG00000110315,RNF141,protein_coding,2,10514742,utr3,6312,10511933,utr3,84717,0.51928,-0.46797,0.61,0.44,0.00001,0.00001,same,enhanced
5,+,chr5:154445956-154461053,ENSG00000164576,SAP30L,protein_coding,2,154456144,utr3,13140,154461051,utr3,24285,0.39279,-0.37965,0.49,0.37,0.00001,0.00001,same,enhanced
1,-,chr1:220148292-220272453,ENSG00000118873,RAB3GAP2,protein_coding,2,220151095,utr3,1382,220148293,utr3,22224,0.65167,-0.44967,0.68,0.49,0.00001,0.00001,same,enhanced
3,-,chr3:108043297-108091024,ENSG00000196776,CD47,protein_coding,2,108047079,utr3,111700,108043299,utr3,42563,0.5466,-0.55107,0.54,0.36,0.00001,0.00001,same,enhanced
6,+,chr6:73695784-73828315,ENSG00000156535,CD109,protein_coding,2,73823928,utr3,10348,73828311,utr3,42749,0.41078,-0.39178,0.55,0.44,0.00001,0.00001,same,enhanced
17,+,chr17:45148501-45152100,ENSG00000186834,HEXIM1,protein_coding,2,45150648,utr3,58132,45152095,utr3,20672,0.49773,-0.5109,0.57,0.41,0.00001,0.00001,same,enhanced
14,-,chr14:75131469-75176630,ENSG00000170348,TMED10,protein_coding,2,75134245,utr3,176387,75131469,utr3,194489,0.3534,-0.35309,0.62,0.5,0.00001,0.00001,same,enhanced
7,+,chr7:27107776-27129975,ENSG00000253552,HOXA-AS2,antisense_RNA,2,27116660,exon,1195,27122883,exon,4136,0.71879,-0.54772,0.58,0.37,0.00001,0,skipped,enhanced
9,+,chr9:127794596-127814326,ENSG00000136877,FPGS,protein_coding,2,127796100,intron,14041,127814058,utr3,36003,-0.5385,0.5243,0.36,0.53,0.00001,0.00001,composite,repressed
6,+,chr6:7726796-7881421,ENSG00000153162,BMP6,protein_coding,2,7731853,intron,1070,7881417,utr3,7088,0.854,-0.70565,0.63,0.34,0.00001,0.00001,composite,enhanced
22,+,chr22:46057210-46113927,ENSG00000197182,MIRLET7BHG,lincRNA,2,46080907,intron,1226,46113925,exon,527,0.88847,-1.08847,0.65,0.32,0.00001,0.00001,composite,enhanced
12,-,chr12:26211163-26335855,ENSG00000256234,AC022509.2,antisense_RNA,2,26335353,intron,1647,26322582,intron,577,0.72625,-1.10817,0.47,0.19,0.00001,0.00004,composite,enhanced
7,+,chr7:135148071-135166214,ENSG00000146859,TMEM140,protein_coding,2,135160371,intron,382,135166213,utr3,1875,1.25312,-0.86375,0.68,0.29,0.00001,0.00001,composite,enhanced
8,+,chr8:103371514-103382996,ENSG00000164932,CTHRC1,protein_coding,2,103382613,utr3,35110,103382986,utr3,79768,-0.37592,0.37078,0.78,0.84,0.00002,0.00002,same,repressed
12,+,chr12:54301201-54351848,ENSG00000111481,COPZ1,protein_coding,2,54350874,utr3,14427,54351842,utr3,33786,0.29568,-0.27816,0.62,0.53,0.00002,0.00002,same,enhanced
14,+,chr14:35826317-35932324,ENSG00000100916,BRMS1L,protein_coding,2,35870666,utr3,1346,35871961,utr3,8609,0.51006,-0.27599,0.65,0.52,0.00002,0.00001,same,enhanced
15,-,chr15:101621443-101652390,ENSG00000184277,TM2D3,protein_coding,2,101642318,utr3,5474,101641850,utr3,95793,0.40027,-0.32837,0.6,0.47,0.00002,0.00002,same,enhanced
19,-,chr19:1609289-1652604,ENSG00000071564,TCF3,protein_coding,2,1611168,utr3,5482,1609293,utr3,63327,0.44941,-0.38818,0.68,0.55,0.00002,0.00002,same,enhanced
17,-,chr17:32324564-32350022,ENSG00000108666,C17orf75,protein_coding,2,32331593,utr3,8441,32328442,utr3,4236,0.4684,-0.50652,0.58,0.41,0.00002,0.00002,same,enhanced
11,+,chr11:61333209-61353294,ENSG00000149476,TKFC,protein_coding,2,61346909,utr3,7214,61348757,utr3,2481,0.43024,-0.51492,0.58,0.43,0.00002,0.00002,same,enhanced
5,-,chr5:147390810-147510055,ENSG00000113657,DPYSL3,protein_coding,2,147393373,utr3,48838,147390812,utr3,209978,0.30822,-0.30405,0.57,0.48,0.00002,0.00002,same,enhanced
17,-,chr17:8159148-8163545,ENSG00000220205,VAMP2,protein_coding,2,8160676,utr3,2844,8159153,utr3,2480,0.52088,-0.53424,0.51,0.34,0.00002,0.00002,same,enhanced
6,+,chr6:106086319-106109938,ENSG00000057657,PRDM1,protein_coding,2,106107902,utr3,7119,106109930,utr3,22194,0.44013,-0.39977,0.7,0.56,0.00002,0.00002,same,enhanced
22,+,chr22:28883591-29057486,ENSG00000183579,ZNRF3,protein_coding,2,29053986,utr3,2511,29057486,utr3,5516,0.61757,-0.57828,0.65,0.45,0.00003,0.00002,same,enhanced
21,-,chr21:33432484-33480010,ENSG00000142188,TMEM50B,protein_coding,2,33450600,utr3,5472,33449141,utr3,47239,0.3886,-0.32724,0.54,0.43,0.00003,0.00003,same,enhanced
7,+,chr7:66921224-66958550,ENSG00000106609,TMEM248,protein_coding,2,66956151,utr3,55220,66958549,utr3,107126,0.3866,-0.38341,0.57,0.44,0.00003,0.00003,same,enhanced
10,+,chr10:45374175-45446118,ENSG00000012779,ALOX5,protein_coding,2,45439157,intron,2062,45446112,utr3,40850,0.61921,-0.47965,0.48,0.3,0.00003,0.00002,composite,enhanced
1,+,chr1:111542217-111716690,ENSG00000116473,RAP1A,protein_coding,2,111713112,utr3,75320,111716687,utr3,9037,0.4151,-0.43734,0.44,0.31,0.00004,0.00005,same,enhanced
15,+,chr15:75647905-75662300,ENSG00000173548,SNX33,protein_coding,2,75658629,utr3,9016,75662249,utr3,4254,0.33825,-0.38064,0.53,0.4,0.00004,0.00004,same,enhanced
10,+,chr10:123008978-123058310,ENSG00000196177,ACADSB,protein_coding,2,123055135,utr3,12415,123058288,utr3,31849,0.32783,-0.3106,0.54,0.42,0.00004,0.00003,same,enhanced
9,-,chr9:109375465-109498312,ENSG00000070159,PTPN3,protein_coding,2,109378237,utr3,15417,109375701,utr3,5013,0.27309,-0.32009,0.54,0.45,0.00004,0.00004,same,enhanced
12,+,chr12:56109289-56113906,ENSG00000170515,PA2G4,protein_coding,2,56113147,utr3,13265,56113904,utr3,61683,0.39605,-0.37253,0.61,0.49,0.00004,0.00004,same,enhanced
17,-,chr17:76712831-76726798,ENSG00000070495,JMJD6,protein_coding,2,76718452,utr3,13040,76712836,utr3,2738,0.37946,-0.45939,0.5,0.36,0.00004,0.00004,skipped,enhanced
10,-,chr10:114431112-114685002,ENSG00000099204,ABLIM1,protein_coding,2,114431774,utr3,7265,114431112,utr3,118099,0.31248,-0.26335,0.45,0.35,0.00005,0.00005,same,enhanced
3,-,chr3:56620132-56683236,ENSG00000163946,FAM208A,protein_coding,2,56622859,utr3,10152,56620132,exon,35222,0.44014,-0.42118,0.56,0.41,0.00005,0.00005,same,enhanced
3,+,chr3:5187645-5219956,ENSG00000134109,EDEM1,protein_coding,2,5216121,utr3,1797,5219956,utr3,21767,0.74773,-0.60696,0.67,0.46,0.00005,0.00005,same,enhanced
10,-,chr10:102673730-102714406,ENSG00000138175,ARL3,protein_coding,2,102676666,utr3,22195,102673732,utr3,4125,0.37749,-0.4333,0.54,0.39,0.00005,0.00005,same,enhanced
16,+,chr16:56989484-57083530,ENSG00000140853,NLRC5,protein_coding,2,57062002,utr3,2895,57083518,utr3,20002,0.33601,-0.26328,0.5,0.39,0.00005,0.00005,skipped,enhanced
1,-,chr1:33007939-33080995,ENSG00000004455,AK2,protein_coding,2,33013044,utr3,76758,33008882,utr3,24144,0.39391,-0.40222,0.62,0.47,0.00006,0.00006,skipped,enhanced
2,+,chr2:227325150-227357835,ENSG00000168958,MFF,protein_coding,2,227357179,utr3,29835,227357834,utr3,11737,0.25127,-0.2745,0.56,0.47,0.00007,0.00007,same,enhanced
16,+,chr16:67846731-67872566,ENSG00000102898,NUTF2,protein_coding,2,67871311,utr3,27710,67872563,utr3,10906,0.40941,-0.4267,0.54,0.4,0.00007,0.00007,same,enhanced
3,+,chr3:101574094-101594436,ENSG00000081154,PCNP,protein_coding,2,101593017,utr3,7025,101594434,utr3,78725,0.51644,-0.47196,0.62,0.45,0.00007,0.00007,same,enhanced
12,-,chr12:108645108-108731595,ENSG00000110880,CORO1C,protein_coding,2,108646571,utr3,12421,108645112,utr3,27454,0.31001,-0.29704,0.5,0.4,0.00007,0.00007,same,enhanced
4,+,chr4:176319963-176332244,ENSG00000129128,SPCS3,protein_coding,2,176328343,utr3,22894,176332242,utr3,107036,0.54842,-0.53595,0.69,0.5,0.00007,0.00007,same,enhanced
1,+,chr1:202007944-202017187,ENSG00000163435,ELF3,protein_coding,2,202016002,utr3,58605,202017102,utr3,9886,0.49216,-0.52135,0.63,0.45,0.00007,0.00007,same,enhanced
3,-,chr3:179017222-179072278,ENSG00000172667,ZMAT3,protein_coding,2,179020046,utr3,7638,179017226,utr3,22489,0.36747,-0.34293,0.57,0.43,0.00007,0.00007,same,enhanced
20,-,chr20:1442161-1470739,ENSG00000088833,NSFL1C,protein_coding,2,1443503,utr3,19964,1442169,utr3,5754,0.34624,-0.39292,0.56,0.43,0.00007,0.00008,same,enhanced
19,+,chr19:3314402-3469216,ENSG00000141905,NFIC,protein_coding,2,3465376,utr3,6938,3469216,utr3,31238,0.50832,-0.47162,0.53,0.36,0.00007,0.00007,same,enhanced
3,+,chr3:122384175-122412333,ENSG00000114023,FAM162A,protein_coding,2,122409996,utr3,53533,122412332,utr3,2858,0.49292,-0.60272,0.66,0.46,0.00007,0.00008,same,enhanced
3,+,chr3:170357677-170396834,ENSG00000136603,SKIL,protein_coding,2,170393159,utr3,13618,170396827,utr3,110264,0.3778,-0.35633,0.61,0.48,0.00007,0.00007,same,enhanced
8,+,chr8:26382897-26505635,ENSG00000104765,BNIP3L,protein_coding,2,26410990,utr3,9150,26413119,utr3,59488,0.28872,-0.24686,0.53,0.43,0.00008,0.00008,same,enhanced
17,-,chr17:75135247-75165584,ENSG00000189159,JPT1,protein_coding,2,75135988,utr3,68689,75135250,utr3,44231,0.36026,-0.36332,0.7,0.6,0.00008,0.00008,same,enhanced
X,+,chrX:104166619-104195901,ENSG00000123575,FAM199X,protein_coding,2,104191443,utr3,7441,104195893,utr3,9964,0.42161,-0.41331,0.61,0.47,0.00009,0.00009,same,enhanced
2,-,chr2:169810080-169824930,ENSG00000138382,METTL5,protein_coding,2,169821079,intron,2702,169811759,utr3,31405,0.41882,-0.34354,0.67,0.54,0.00009,0.00008,composite,enhanced
8,-,chr8:23841914-23854806,ENSG00000159167,STC1,protein_coding,2,23842121,utr3,6992,23841989,utr3,21743,0.49899,-0.46497,0.48,0.29,0.00012,0.00011,same,enhanced
5,-,chr5:43289394-43313511,ENSG00000112972,HMGCS1,protein_coding,2,43290753,utr3,18734,43289395,utr3,211697,0.31438,-0.29932,0.55,0.45,0.00012,0.00012,same,enhanced
13,+,chr13:38349848-38363618,ENSG00000120686,UFM1,protein_coding,2,38360838,utr3,32996,38362999,utr3,60220,0.74743,-0.74335,0.7,0.47,0.00012,0.00012,same,enhanced
3,+,chr3:62318972-62336212,ENSG00000114405,C3orf14,protein_coding,2,62333642,utr3,6382,62336211,utr3,413,0.57015,-1.0619,0.61,0.35,0.00012,0.00019,same,enhanced
1,+,chr1:24745356-24844323,ENSG00000169504,CLIC4,protein_coding,2,24840948,utr3,5966,24844266,utr3,115818,0.49841,-0.44076,0.59,0.44,0.00013,0.00013,same,enhanced
5,+,chr5:112160525-112164275,ENSG00000224032,EPB41L4A-AS1,lincRNA,2,112162305,exon,50103,112164272,exon,3157,0.31601,-0.39208,0.45,0.33,0.00013,0.00014,same,enhanced
11,+,chr11:57793243-57819545,ENSG00000198561,CTNND1,protein_coding,2,57818444,utr3,140496,57819177,utr3,28574,0.36893,-0.37725,0.51,0.38,0.00013,0.00013,same,enhanced
3,+,chr3:33113978-33147772,ENSG00000170275,CRTAP,protein_coding,2,33143157,utr3,129759,33145029,utr3,33763,0.30452,-0.31247,0.5,0.39,0.00013,0.00013,same,enhanced
1,-,chr1:150218416-150236155,ENSG00000143401,ANP32E,protein_coding,2,150220378,utr3,12329,150218424,utr3,40813,0.45455,-0.42247,0.73,0.61,0.00013,0.00013,same,enhanced
3,-,chr3:45823315-45916041,ENSG00000163818,LZTFL1,protein_coding,2,45825965,utr3,898,45823992,utr3,16389,0.65092,-0.38737,0.59,0.41,0.00014,0.00011,same,enhanced
19,+,chr19:16067020-16103004,ENSG00000167460,TPM4,protein_coding,2,16101495,utr3,8898,16103002,utr3,176695,0.45029,-0.40844,0.62,0.49,0.00014,0.00014,same,enhanced
1,-,chr1:56173432-56494745,ENSG00000284686,AC119674.2,protein_coding,2,56490973,intron,1454,56470430,intron,1002,-0.74476,0.75622,0.23,0.48,0.00014,0.00014,skipped,repressed
10,+,chr10:84139439-84153244,ENSG00000165678,GHITM,protein_coding,2,84152543,utr3,12695,84153173,utr3,115965,0.30568,-0.28175,0.58,0.48,0.00016,0.00016,same,enhanced
6,+,chr6:63521747-63583586,ENSG00000112245,PTP4A1,protein_coding,2,63581454,utr3,366426,63583376,utr3,80338,0.33655,-0.33941,0.6,0.48,0.00016,0.00017,same,enhanced
1,-,chr1:1311584-1324690,ENSG00000127054,INTS11,protein_coding,2,1318680,utr3,7106,1311596,utr3,4796,0.71653,-0.7232,0.78,0.56,0.00016,0.00016,skipped,enhanced
11,+,chr11:31812390-32105754,ENSG00000049449,RCN1,protein_coding,2,32104769,utr3,1849,32105534,utr3,16911,0.60027,-0.44458,0.73,0.56,0.00017,0.00016,same,enhanced
11,+,chr11:130069836-130144810,ENSG00000084234,APLP2,protein_coding,2,130143796,utr3,38655,130144803,utr3,264505,0.26055,-0.25135,0.5,0.41,0.00017,0.00017,same,enhanced
19,+,chr19:18683676-18782332,ENSG00000105662,CRTC1,protein_coding,2,18777951,utr3,4444,18782331,utr3,1196,0.38779,-0.5399,0.56,0.4,0.00018,0.00021,same,enhanced
15,-,chr15:40835807-40844386,ENSG00000261183,SPINT1-AS1,antisense_RNA,2,40838417,exon,2381,40835994,exon,4806,0.51835,-0.44954,0.67,0.5,0.00019,0.00018,skipped,enhanced
7,+,chr7:77798791-77957502,ENSG00000006576,PHTF2,protein_coding,2,77940457,utr3,2368,77957223,utr3,39451,0.58635,-0.48887,0.69,0.53,0.0002,0.00019,skipped,enhanced
1,+,chr1:25337916-25362360,ENSG00000183726,TMEM50A,protein_coding,2,25361140,utr3,5899,25362358,utr3,41035,0.30414,-0.25154,0.53,0.44,0.00021,0.0002,same,enhanced
12,+,chr12:30926427-30996598,ENSG00000110900,TSPAN11,protein_coding,2,30964513,intron,376,30996597,utr3,5992,1.04319,-0.49799,0.66,0.4,0.00021,0.00012,composite,enhanced
9,-,chr9:113386316-113401332,ENSG00000148218,ALAD,protein_coding,2,113388211,utr3,1218,113386318,utr3,12160,0.56614,-0.42351,0.58,0.43,0.00022,0.00019,same,enhanced
X,+,chrX:40579371-40606847,ENSG00000182220,ATP6AP2,protein_coding,2,40605882,utr3,16110,40606633,utr3,138705,0.47995,-0.46427,0.65,0.5,0.00022,0.00022,same,enhanced
1,+,chr1:27725978-27763121,ENSG00000009780,FAM76A,protein_coding,2,27761602,utr3,5239,27763113,utr3,6772,0.40301,-0.39071,0.53,0.39,0.00023,0.00023,same,enhanced
19,+,chr19:19385825-19508930,ENSG00000167491,GATAD2A,protein_coding,2,19506977,utr3,4695,19508924,utr3,38886,0.48792,-0.43333,0.56,0.4,0.00023,0.00022,same,enhanced
22,-,chr22:50217688-50244991,ENSG00000128159,TUBGCP6,protein_coding,2,50222989,exon,284,50217694,utr3,5185,1.02319,-0.46841,0.74,0.47,0.00023,0.00015,skipped,enhanced
16,+,chr16:3611727-3680142,ENSG00000213918,DNASE1,protein_coding,2,3620690,intron,344,3665469,utr3,1366,0.97291,-0.60826,0.75,0.52,0.00023,0.00016,composite,enhanced
11,-,chr11:1554043-1571919,ENSG00000184545,DUSP8,protein_coding,2,1556386,utr3,1808,1554050,utr3,1447,0.51806,-0.53883,0.48,0.31,0.00024,0.00025,same,enhanced
10,-,chr10:70098222-70132933,ENSG00000042286,AIFM2,protein_coding,2,70113986,utr3,5523,70112277,utr3,6627,0.41328,-0.40581,0.61,0.48,0.00024,0.00024,same,enhanced
11,+,chr11:63137866-63369717,ENSG00000184999,SLC22A10,protein_coding,2,63170419,intron,511,63194979,intron,691,-1.43479,1.27239,0.15,0.54,0.00024,0.00024,composite,repressed
7,+,chr7:134986507-135147962,ENSG00000146856,AGBL3,protein_coding,2,134989684,intron,1789,135012510,exon,3945,0.51717,-0.47171,0.46,0.3,0.00025,0.00023,composite,enhanced
22,-,chr22:42085524-42090954,ENSG00000184983,NDUFA6,protein_coding,2,42086114,utr3,82232,42085526,utr3,12511,0.28951,-0.3169,0.59,0.48,0.00027,0.00028,same,enhanced
7,+,chr7:12211240-12243366,ENSG00000106460,TMEM106B,protein_coding,2,12233086,utr3,3438,12237262,utr3,48454,0.30411,-0.24017,0.65,0.57,0.0003,0.00029,same,enhanced
7,+,chr7:130070509-130135719,ENSG00000128607,KLHDC10,protein_coding,2,130130887,utr3,1834,130135702,utr3,20960,0.42161,-0.31729,0.58,0.45,0.0003,0.00027,same,enhanced
