chr,strand,gene_locus,gene_id,gene_name,gene_biotype,polyA_sites_in_gene,proximal_pos,proximal_feature,proximal_exp,distal_pos,distal_feature,distal_exp,proximal_control_sum,distal_control_sum,proximal_test_sum,distal_test_sum,proximal_fc,distal_fc,proximal_perc_inc,distal_perc_inc,proximal_padj,distal_padj,pair_type,gene_class
1,-,chr1:16197853-16212608,ENSG00000142632,ARHGEF19,protein_coding,2,16198103,utr3,23828,16197855,exon,4795,16118,3135,7710,1660,0.06589,-0.07383,0.68,0.65,0.21989,0.22074,same,control_down
1,-,chr1:23428562-23484567,ENSG00000088280,ASAP3,protein_coding,2,23429144,utr3,812,23428562,utr3,5810,339,2500,473,3310,-0.00987,0.00634,0.42,0.43,0.8848,0.885,same,control_up
1,-,chr1:197084127-197146693,ENSG00000066279,ASPM,protein_coding,2,197084261,utr3,1628,197084127,utr3,2201,1454,1865,174,336,0.32821,-0.28826,0.89,0.85,0.54911,0.54698,same,control_down
1,+,chr1:203626560-203744080,ENSG00000058668,ATP2B4,protein_coding,2,203729538,intron,7759,203744078,utr3,128390,2828,42918,4931,85472,0.00042,-0.0004,0.36,0.33,0.94437,0.9443,composite,control_down
1,-,chr1:25831912-25859457,ENSG00000127423,AUNIP,protein_coding,2,25834826,utr3,839,25834005,utr3,418,765,364,74,54,0.25047,-0.32463,0.91,0.87,0.37564,0.38472,same,control_down
1,-,chr1:114567556-114581638,ENSG00000116752,BCAS2,protein_coding,2,114567736,utr3,8994,114567561,utr3,14140,4642,6221,4352,7919,0.17446,-0.16896,0.52,0.44,0.15223,0.15201,same,control_down
1,-,chr1:39757181-39788860,ENSG00000116985,BMP8B,protein_coding,2,39762168,intron,332,39757182,utr3,2919,236,1524,96,1395,0.76872,-0.39829,0.71,0.52,0.00941,0.00776,composite,enhanced
1,+,chr1:151036569-151047599,ENSG00000163141,BNIPL,protein_coding,2,151047451,utr3,588,151047583,utr3,7035,278,3207,310,3828,0.1754,-0.09064,0.47,0.46,0.20417,0.1956,same,control_down
1,-,chr1:220057481-220090461,ENSG00000162813,BPNT1,protein_coding,2,220057728,utr3,11957,220057549,utr3,5178,6701,2529,5256,2649,0.17639,-0.18857,0.56,0.49,0.0389,0.03918,same,enhanced
1,+,chr1:222712552-222735195,ENSG00000162819,BROX,protein_coding,2,222713903,exon,4514,222735184,utr3,38268,2827,18465,1687,19803,0.44346,-0.39568,0.63,0.48,0.01051,0.01035,skipped,enhanced
1,+,chr1:44808481-44815584,ENSG00000222009,BTBD19,protein_coding,2,44815358,exon,528,44815583,exon,8493,343,3094,185,5399,1.0897,-0.7602,0.65,0.36,0.09827,0.09229,same,control_down
1,-,chr1:207018520-207032755,ENSG00000182795,C1orf116,protein_coding,2,207020696,utr3,11606,207018523,utr3,24072,4321,5021,7285,19051,0.54488,-0.52641,0.37,0.21,0,0,same,enhanced
1,-,chr1:231223762-231241186,ENSG00000143633,C1orf131,protein_coding,2,231226785,exon,3991,231223765,utr3,11969,2663,6626,1328,5343,0.31651,-0.30401,0.67,0.55,0.0141,0.01401,skipped,enhanced
1,-,chr1:1081817-1116360,ENSG00000131591,C1orf159,protein_coding,2,1102398,intron,780,1081824,utr3,1900,433,1065,347,835,0.02275,-0.01991,0.56,0.56,0.85913,0.8591,composite,control_down
1,+,chr1:174999162-175011714,ENSG00000116161,CACYBP,protein_coding,2,175010262,utr3,52927,175010799,utr3,17943,32980,9420,19947,8523,0.25589,-0.27,0.62,0.52,0.00004,0.00004,same,enhanced
1,+,chr1:159171608-159203305,ENSG00000162706,CADM3,protein_coding,2,159202010,utr3,329,159203141,utr3,829,97,357,232,472,-0.56691,0.34688,0.29,0.43,0.02281,0.02094,same,repressed
1,+,chr1:230747383-230802002,ENSG00000135773,CAPN9,protein_coding,2,230801762,utr3,934,230801985,utr3,625,326,225,608,400,-0.05081,0.06276,0.35,0.36,0.4055,0.4075,same,control_up
1,-,chr1:162824457-162868814,ENSG00000185860,CCDC190,protein_coding,2,162861458,intron,836,162854296,utr3,859,592,437,244,422,0.55062,-0.54677,0.71,0.51,0.2455,0.24737,composite,control_down
1,+,chr1:43991358-43996527,ENSG00000159214,CCDC24,protein_coding,2,43993274,intron,344,43996523,utr3,3068,226,1798,118,1270,0.30569,-0.20819,0.66,0.59,0.40213,0.3973,composite,control_down
1,-,chr1:207880971-207911401,ENSG00000174059,CD34,protein_coding,2,207886538,utr3,78476,207882568,utr3,4933,21069,2121,57407,2812,-0.42155,0.46315,0.27,0.43,0.69015,0.69126,same,control_up
1,+,chr1:110873153-110899927,ENSG00000143119,CD53,protein_coding,2,110888631,intron,2565,110899919,utr3,25531,1307,10194,1258,15337,0.28672,-0.27721,0.51,0.4,0.23467,0.23467,composite,control_down
1,+,chr1:22052626-22092945,ENSG00000070831,CDC42,protein_coding,2,22092735,utr3,9738,22092941,utr3,180322,4437,72340,5301,107982,0.19428,-0.17727,0.46,0.4,0.04197,0.04173,same,enhanced
1,-,chr1:151050970-151070324,ENSG00000197622,CDC42SE1,protein_coding,2,151052660,utr3,21125,151050972,utr3,22224,11284,10043,9841,12181,0.26371,-0.2637,0.53,0.45,0.03438,0.03438,same,enhanced
1,+,chr1:37692417-37709718,ENSG00000134690,CDCA8,protein_coding,2,37709556,utr3,1012,37709716,utr3,17935,877,15169,135,2766,0.15719,-0.08447,0.87,0.85,0.06597,0.06509,same,control_down
1,-,chr1:173799549-173824719,ENSG00000120334,CENPL,protein_coding,2,173820597,intron,876,173799551,utr3,1730,473,1231,403,499,-0.55995,0.46937,0.54,0.71,0.00035,0.00032,composite,repressed
1,-,chr1:243124427-243255347,ENSG00000143702,CEP170,protein_coding,2,243185506,intron,2722,243124428,utr3,36698,1348,16349,1374,20349,0.2163,-0.18251,0.5,0.45,0.17014,0.16837,composite,control_down
1,+,chr1:179954737-180114879,ENSG00000135837,CEP350,protein_coding,2,180111191,utr3,9272,180114872,utr3,47048,4852,20040,4420,27008,0.22328,-0.20463,0.52,0.43,0.02783,0.02769,same,enhanced
1,+,chr1:26234152-26279037,ENSG00000130695,CEP85,protein_coding,2,26268505,exon,851,26278805,utr3,2980,599,1739,252,1241,0.31561,-0.27902,0.7,0.58,0.20728,0.20474,skipped,control_down
1,-,chr1:241628852-241640253,ENSG00000203668,CHML,protein_coding,2,241633241,utr3,1586,241628866,utr3,14887,979,7473,607,7414,0.37323,-0.25309,0.62,0.5,0.16595,0.16131,same,control_down
1,+,chr1:153633981-153646305,ENSG00000160679,CHTOP,protein_coding,2,153645827,utr3,3856,153646304,utr3,50871,1922,22117,1934,28754,0.25259,-0.21756,0.5,0.43,0.26246,0.26078,same,control_down
1,+,chr1:11806095-11843143,ENSG00000011021,CLCN6,protein_coding,2,11823471,intron,8182,11843127,utr3,17459,3793,6833,4389,10626,0.12544,-0.12376,0.46,0.39,0.47913,0.47901,composite,control_down
1,+,chr1:47333796-47378838,ENSG00000162368,CMPK1,protein_coding,2,47377772,utr3,24972,47378837,utr3,96822,12560,43994,12412,52828,0.13021,-0.12856,0.5,0.45,0.61268,0.61258,same,control_down
1,+,chr1:224356849-224379458,ENSG00000143771,CNIH4,protein_coding,2,224375995,utr3,73689,224379440,utr3,13839,41983,4932,31706,8907,0.65435,-0.68786,0.57,0.36,0,0,same,enhanced
1,-,chr1:23870525-23913361,ENSG00000188822,CNR2,protein_coding,2,23873077,utr3,771,23870526,utr3,527,525,327,246,200,0.16264,-0.18395,0.68,0.62,0.35726,0.36023,same,control_down
1,-,chr1:52684450-52698365,ENSG00000162377,COA7,protein_coding,2,52687477,utr3,1134,52686837,utr3,1218,729,763,405,455,0.07412,-0.07101,0.64,0.63,0.74462,0.74448,same,control_down
1,-,chr1:102876466-103108495,ENSG00000060718,COL11A1,protein_coding,2,102877484,utr3,8507,102876473,utr3,2944,8347,2895,160,49,-0.09448,0.13646,0.98,0.98,0.76932,0.76565,same,control_up
1,-,chr1:31652246-31704318,ENSG00000084636,COL16A1,protein_coding,2,31652589,utr3,8402,31652246,utr3,895,5047,492,3355,403,0.06045,-0.08433,0.6,0.55,0.28898,0.29378,same,control_down
1,-,chr1:85729232-86156942,ENSG00000171502,COL24A1,protein_coding,2,85774780,intron,441,85729234,utr3,1284,244,760,197,524,-0.14072,0.10874,0.55,0.59,0.69794,0.69457,composite,control_up
1,-,chr1:36095235-36125219,ENSG00000171812,COL8A2,protein_coding,2,36095424,utr3,6822,36095244,utr3,12511,4178,7421,2644,5090,0.04327,-0.0399,0.61,0.59,0.28106,0.28064,same,control_down
1,-,chr1:40300486-40317815,ENSG00000049089,COL9A2,protein_coding,2,40302063,intron,615,40300873,utr3,472,334,299,281,173,-0.23784,0.25554,0.54,0.63,0.56324,0.56324,composite,control_up
1,+,chr1:226897535-226987544,ENSG00000163050,COQ8A,protein_coding,2,226897584,utr5,1857,226987543,utr3,24298,984,11583,873,12715,0.11504,-0.10154,0.53,0.48,0.56004,0.5587,skipped,control_down
1,-,chr1:16618252-16657231,ENSG00000215908,CROCCP2,transcribed_unprocessed_pseudogene,2,16618557,exon,1091,16618257,exon,10841,621,5398,470,5443,0.20546,-0.14282,0.57,0.5,0.11065,0.10778,same,control_down
1,-,chr1:9848275-9910335,ENSG00000178585,CTNNBIP1,protein_coding,2,9850109,utr3,20919,9848275,utr3,32277,15155,10864,5764,21413,1.10217,-1.09499,0.72,0.34,0,0,same,enhanced
1,-,chr1:150730195-150765956,ENSG00000163131,CTSS,protein_coding,2,150764656,exon,11466,150732381,utr3,128656,6810,52090,4656,76566,0.5197,-0.51337,0.59,0.4,0.05292,0.05281,skipped,control_down
1,+,chr1:46757837-46819412,ENSG00000142973,CYP4B1,protein_coding,2,46819013,utr3,18512,46819347,utr3,255300,2471,26760,16041,228540,0.13695,-0.12688,0.13,0.1,0.00217,0.00216,same,enhanced
1,+,chr1:47023567-47050750,ENSG00000186377,CYP4X1,protein_coding,2,47050553,utr3,1048,47050749,utr3,13937,493,5187,555,8750,0.47573,-0.32762,0.47,0.37,0.05778,0.05486,same,control_down
1,+,chr1:47067487-47118318,ENSG00000186160,CYP4Z1,protein_coding,2,47112994,intron,407,47118316,utr3,805,100,187,307,618,-0.03059,0.02649,0.25,0.23,0.29822,0.29822,composite,control_up
1,+,chr1:113905140-113914085,ENSG00000118655,DCLRE1B,protein_coding,2,113912467,utr3,3447,113914069,utr3,2338,1877,1181,1570,1157,0.08888,-0.09486,0.54,0.51,0.48487,0.48564,same,control_down
1,-,chr1:85318480-85578362,ENSG00000153904,DDAH1,protein_coding,2,85425267,intron,11187,85318485,utr3,40267,4872,17645,6315,22622,0.00846,-0.00816,0.44,0.44,0.44216,0.44201,composite,control_down
1,-,chr1:20651766-20661543,ENSG00000244038,DDOST,protein_coding,2,20652187,utr3,49284,20651779,utr3,4142,27164,2268,22120,1874,0.05673,-0.05952,0.55,0.55,0.75869,0.7591,same,control_down
1,+,chr1:111755244-111768015,ENSG00000064703,DDX20,protein_coding,2,111767260,utr3,9646,111767483,utr3,1807,4451,789,5195,1018,0.03331,-0.04543,0.46,0.44,0.64445,0.64683,same,control_down
1,-,chr1:200623895-200669968,ENSG00000118197,DDX59,protein_coding,2,200644123,utr3,1306,200640805,intron,1979,760,775,546,1204,0.47706,-0.45916,0.58,0.39,0.01753,0.01732,skipped,enhanced
1,-,chr1:161120973-161132687,ENSG00000158796,DEDD,protein_coding,2,161121331,utr3,22165,161120980,utr3,4419,11758,1890,10407,2529,0.23163,-0.25121,0.53,0.43,0.05128,0.05175,same,control_down
1,+,chr1:224175755-224193440,ENSG00000143753,DEGS1,protein_coding,2,224193158,utr3,9869,224193437,utr3,17241,4354,6707,5515,10534,0.12111,-0.11986,0.44,0.39,0.58515,0.58498,same,control_down
1,-,chr1:114582847-114670421,ENSG00000175984,DENND2C,protein_coding,2,114644197,intron,450,114582850,utr3,7767,254,3722,196,4045,0.32137,-0.23204,0.56,0.48,0.44357,0.43655,composite,control_down
1,-,chr1:111187173-111204534,ENSG00000162777,DENND2D,protein_coding,2,111189844,intron,2862,111187180,utr3,24425,1728,11765,1134,12660,0.34695,-0.33107,0.6,0.48,0.2739,0.27292,composite,control_down
1,+,chr1:222872270-223005994,ENSG00000154309,DISP1,protein_coding,2,223003023,exon,1600,223005990,utr3,18250,457,4473,1143,13777,0.23065,-0.15119,0.29,0.25,0.03687,0.03513,same,enhanced
1,-,chr1:6634167-6701923,ENSG00000007923,DNAJC11,protein_coding,2,6635115,utr3,1891,6634170,utr3,15729,1111,8559,780,7170,0.21215,-0.16944,0.59,0.54,0.57812,0.57653,same,control_down
1,+,chr1:37556918-37566856,ENSG00000163879,DNALI1,protein_coding,2,37565148,utr3,8696,37566855,utr3,10786,3432,2428,5264,8358,0.46175,-0.46085,0.39,0.23,0,0,same,enhanced
1,-,chr1:93866282-93879917,ENSG00000067334,DNTTIP2,protein_coding,2,93875668,exon,2646,93869788,utr3,30134,1390,12706,1256,17428,0.26242,-0.24814,0.53,0.42,0.27917,0.27828,skipped,control_down
1,-,chr1:100989622-101026087,ENSG00000117543,DPH5,protein_coding,2,100990063,utr3,18623,100989626,exon,1327,9995,563,8628,764,0.21937,-0.33546,0.54,0.42,0.0519,0.05463,same,control_down
1,-,chr1:168695458-168729263,ENSG00000143196,DPT,protein_coding,2,168696349,utr3,4245,168695471,utr3,52858,1718,18805,2527,34053,0.19028,-0.15774,0.4,0.36,0.06924,0.06858,same,control_down
1,-,chr1:111117332-111140215,ENSG00000156171,DRAM2,protein_coding,2,111117907,utr3,24686,111117332,utr3,8505,11500,3548,13186,4957,0.15927,-0.17774,0.47,0.42,0.02075,0.02089,same,enhanced
1,+,chr1:212035552-212107399,ENSG00000143476,DTL,protein_coding,2,212103434,utr3,734,212104843,utr3,4875,530,3299,204,1576,0.23352,-0.14272,0.72,0.68,0.3612,0.35774,same,control_down
1,-,chr1:43164174-43270935,ENSG00000117395,EBNA1BP2,protein_coding,2,43164310,utr3,38998,43164184,utr3,3496,21465,1742,17533,1754,0.13089,-0.18272,0.55,0.5,0.0829,0.08409,same,control_down
1,-,chr1:52895909-52927211,ENSG00000121310,ECHDC2,protein_coding,2,52896232,utr3,39181,52895932,utr3,2495,13166,787,26015,1708,0.04163,-0.06645,0.34,0.32,0.5197,0.52221,same,control_down
1,+,chr1:150508061-150513788,ENSG00000143369,ECM1,protein_coding,2,150513553,utr3,3335,150513787,utr3,1559,2136,781,1199,778,0.34678,-0.43644,0.64,0.5,0.00117,0.00125,same,enhanced
1,-,chr1:46675158-46719063,ENSG00000159658,EFCAB14,protein_coding,2,46676569,utr3,8201,46675160,utr3,145596,3783,55125,4418,90471,0.28455,-0.26072,0.46,0.38,0.02382,0.02363,same,enhanced
1,-,chr1:231363750-231425043,ENSG00000135766,EGLN1,protein_coding,2,231365909,utr3,2265,231363758,utr3,26881,1327,12674,938,14207,0.35065,-0.26604,0.59,0.47,0.01123,0.01071,same,enhanced
1,-,chr1:206571291-206612462,ENSG00000143486,EIF2D,protein_coding,2,206594038,intron,4502,206591644,utr3,27949,1831,12855,2671,15094,-0.15309,0.14106,0.41,0.46,0.45979,0.45905,composite,control_up
1,+,chr1:202007944-202017187,ENSG00000163435,ELF3,protein_coding,2,202016002,utr3,61378,202017102,utr3,10785,33897,4036,27481,6749,0.5072,-0.53066,0.55,0.37,0,0,same,enhanced
1,-,chr1:23760381-23778286,ENSG00000236810,ELOA-AS1,antisense_RNA,2,23763476,intron,609,23760518,exon,2409,322,1358,287,1051,-0.17324,0.12285,0.53,0.56,0.09879,0.09671,composite,control_up
1,-,chr1:219968600-220046657,ENSG00000136628,EPRS,protein_coding,2,219980163,exon,3583,219968601,utr3,36167,2591,20342,992,15825,0.45261,-0.43683,0.72,0.56,0.00845,0.00835,skipped,enhanced
1,+,chr1:42817123-42844988,ENSG00000164010,ERMAP,protein_coding,2,42823815,intron,785,42844983,utr3,12687,485,4669,300,8018,0.76885,-0.5963,0.62,0.37,0.10633,0.10271,composite,control_down
1,-,chr1:8004403-8026307,ENSG00000116285,ERRFI1,protein_coding,2,8016929,intron,14892,8011727,utr3,128902,10173,68846,4719,60056,0.42569,-0.4179,0.68,0.53,0.00198,0.00197,composite,enhanced
1,-,chr1:216503245-217137754,ENSG00000196482,ESRRG,protein_coding,2,217068374,intron,1050,216503252,utr3,1038,491,466,559,572,-0.07934,0.08034,0.47,0.45,0.95479,0.95479,composite,control_up
1,-,chr1:169514165-169586587,ENSG00000198734,F5,protein_coding,2,169542008,exon,942,169514167,utr3,3313,575,2065,367,1248,0.15068,-0.12914,0.61,0.62,0.96631,0.96588,skipped,control_down
1,+,chr1:26159019-26163961,ENSG00000197245,FAM110D,protein_coding,2,26162626,utr3,17488,26163960,utr3,1724,3609,346,13879,1378,0.03625,-0.05294,0.21,0.2,0.54703,0.54809,same,control_down
1,-,chr1:184790723-184974549,ENSG00000135842,FAM129A,protein_coding,2,184791511,utr3,22383,184791033,utr3,56904,11260,21167,11123,35737,0.44631,-0.4406,0.5,0.37,0.00119,0.00119,same,enhanced
